name,follow,view,like,videos,frequency,mid
罗翔说刑法,29727843 ,858760197 ,88791622 ,28 ,双周更,517327498 
老番茄,19225062 ,2806703032 ,193436804 ,29 ,双周更,546195 
木鱼水心,12359711 ,1530227945 ,74141307 ,28 ,双周更,927587 
小潮院长,11789212 ,2702044331 ,134555016 ,26 ,双周更,5970160 
绵羊料理,11263249 ,1135846625 ,78928717 ,24 ,月更,18202105 
老师好我叫何同学,11256994 ,409984249 ,51228634 ,5 ,鸽子,163637592 
中国BOY超级大猩猩,9649187 ,1976809438 ,122102591 ,20 ,月更,562197 
记录生活的蛋黄派,8666080 ,1431175484 ,104049904 ,24 ,月更,337521240 
某幻君,8496512 ,991630798 ,80728711 ,21 ,月更,1577804 
日食记,8331129 ,489474498 ,26071726 ,29 ,双周更,8960728 
盗月社食遇记,7990385 ,1420267040 ,89030406 ,27 ,双周更,99157282 
手工耿,7852998 ,839121554 ,53007149 ,21 ,月更,280793434 
小约翰可汗,7763310 ,1250287065 ,55241090 ,29 ,双周更,23947287 
硬核的半佛仙人,7661558 ,978880893 ,77130024 ,27 ,双周更,37663924 
影视飓风,7572812 ,628900452 ,50482153 ,30 ,双周更,946974 
HuangFuRen,7528369 ,617487199 ,20183026 ,16 ,月更,23630128 
宋浩老师官方,7192938 ,335075608 ,8043865 ,10 ,鸽子,66607740 
逗比的雀巢,7114564 ,1000247847 ,65020048 ,25 ,月更,5294454 
你的影月月,7072075 ,1387693535 ,41164083 ,87 ,周更,431073645 
小片片说大片,6769627 ,1638122469 ,86287664 ,27 ,双周更,10119428 
花少北丶,6714321 ,717771408 ,63250666 ,21 ,月更,2206456 
逍遥散人,6702288 ,938219817 ,45606388 ,27 ,双周更,168598 
学过石油的语文老师,6479023 ,247539742 ,14984288 ,24 ,月更,39737405 
思维实验室,6439534 ,314767816 ,19310236 ,29 ,双周更,14583962 
泛式,5698165 ,706146370 ,56440176 ,28 ,双周更,63231 
电影最TOP,5529523 ,746527721 ,27532744 ,29 ,双周更,17819768 
欧阳春晓Aurora,5364138 ,355046144 ,12658974 ,30 ,双周更,493570956 
星有野,5043034 ,862850961 ,59480549 ,28 ,双周更,627888730 
历史调研室,4879825 ,198295998 ,10833370 ,12 ,月更,519872016 
尴尬的铁根er,4626679 ,2362492859 ,87567028 ,26 ,双周更,405370021 
宝剑嫂,4488748 ,498961191 ,48779559 ,21 ,月更,113362335 
画渣花小烙,4454734 ,598107639 ,32650989 ,28 ,双周更,402576555 
